Entidad,estatal_homicidio_doloso,estatal_lesiones_dolosas,estatal_libertad_personal,estatal_medio_ambiente,estatal_servidores_publicos,estatal_electorales,estatal_casahab,estatal_vehiculoauto,estatal_autopartes,estatal_robotransportista,estatal_transeunte_viapub,estatal_transeunte_abiertopub,estatal_transpub_indiv,estatal_transpub_colec,estatal_trans_indv,estatal_inst_banc,estatal_robo_neg,estatal_robo_ganado,estatal_robo_maquinaria,comun_feminicidio_muj,comun_corrup_menores,comun_extorsion,comun_homculp_muj,comun_homdol_muj,comun_lesculp_muj,comun_lesdol_muj,comun_rapoto_muj,comun_secuesto_muj,comun_trafmen_muj,comun_trata_muj,contra_salud_fed,servidores_publicos_fed,electorales_fed,contra_integridad_fed,patrimoniales_fed,ambientales_fed
aguascalientes,72,3506,442,43,450,6,2457,1668,806,3,1303,0,96,18,29,0,1938,187,4,0,61,42,7,1,855,2709,0,3,0,0,167,23,0,7,77,8
baja california,2610,5582,608,26,913,1,3610,10361,47,37,3929,4,4,9,7,6,4056,53,0,14,683,62,29,77,736,617,0,2,3,15,949,107,0,9,280,49
baja california sur,62,1415,183,2,272,0,1155,702,24,2,178,71,12,6,5,0,671,102,12,2,48,36,9,6,115,59,0,0,0,0,377,25,0,7,158,58
campeche,77,71,17,2,5,0,171,391,8,3,40,0,0,1,2,0,197,17,3,0,3,6,2,0,23,36,0,0,0,0,58,52,0,6,122,27
chiapas,419,644,180,50,250,4,225,1860,1,9,219,75,1,3,8,1,289,73,7,12,52,19,29,15,152,189,0,1,0,3,165,196,0,22,279,86
chihuahua,2295,4046,699,87,1704,0,2158,3831,613,34,356,107,7,4,18,5,1817,211,136,13,72,7,20,37,523,1268,0,7,1,4,487,70,0,27,309,34
ciudad de méxico,1136,4367,1821,628,5034,13,4172,9981,7375,196,10619,2074,326,3544,2804,26,15762,0,37,39,176,78,29,17,869,824,8,6,0,43,554,988,1,87,1701,51
coahuila de zaragoza,194,3604,43,0,567,1,1909,522,133,16,350,41,15,4,25,2,987,49,47,5,15,17,10,4,194,1640,0,0,0,4,164,65,0,26,229,6
colima,544,1152,390,4,278,3,1791,1010,0,0,127,0,0,0,0,0,744,48,0,6,28,16,3,60,180,364,0,0,0,0,97,51,0,10,129,26
durango,143,1856,353,0,77,0,2862,1019,122,9,381,15,15,4,6,1,1114,121,7,3,0,33,8,2,250,260,0,0,0,0,161,94,0,27,147,31
guanajuato,3359,11127,0,21,97,3,4192,4285,0,8,170,0,0,0,0,0,6299,245,0,8,218,7,533,107,3,5454,0,4,1,1,7,0,1,7,16,3
guerrero,1223,2008,398,6,202,3,340,2199,14,1,229,25,4,15,2,17,572,34,4,5,15,60,35,40,104,894,0,4,1,5,347,95,1,41,2068,12
hidalgo,296,4337,1753,1,444,307,2240,3222,88,33,743,190,47,14,73,1,1623,95,3,4,20,30,23,18,293,1733,0,2,1,3,158,49,1,23,149,13
jalisco,1756,7491,986,72,357,8,4834,12748,1989,413,10704,144,142,138,3,26,10125,151,84,32,106,223,45,311,690,3186,0,5,0,5,53,57,1,19,823,31
méxico,2439,43503,2760,456,3912,7,8118,37702,2729,4979,17672,265,915,6531,9669,29,19539,248,37,50,132,917,98,48,2729,28658,0,48,1,7,524,181,2,63,1302,87
michoacán de ocampo,1976,6586,412,148,367,1,1448,5755,44,1072,571,117,33,130,25,13,845,87,111,11,26,8,53,70,248,2988,0,5,0,0,393,232,0,41,1681,88
morelos,802,866,213,12,50,1,1464,3731,1295,398,775,67,43,70,45,27,2509,48,13,11,23,42,9,12,626,256,0,17,0,1,225,201,0,38,942,68
nayarit,159,169,88,5,14,1,118,315,25,0,0,2,2,1,0,0,146,5,1,6,14,1,6,17,14,40,0,1,0,0,19,69,0,11,158,14
nuevo león,847,3848,2083,0,2414,23,2527,2033,101,508,934,550,70,24,47,6,1983,110,46,21,128,133,24,5,610,1553,29,3,0,18,37,57,0,5,82,9
oaxaca,802,3943,200,2,433,61,1200,2424,178,58,1484,168,120,182,26,21,1316,93,27,20,25,57,60,28,466,1738,0,9,0,7,305,84,0,10,480,41
puebla,872,4542,246,60,1159,15,2130,10026,304,966,2123,0,99,206,693,32,3772,132,316,22,17,41,20,26,194,1784,0,9,0,10,85,125,0,20,297,105
querétaro,181,4797,105,3,0,16,2735,3631,654,0,1432,105,132,340,380,0,3196,173,15,5,0,82,6,4,207,2522,0,2,0,3,111,121,0,34,741,29
quintana roo,581,2262,615,69,535,15,1762,2591,44,45,1566,256,82,39,70,8,3740,39,278,12,70,55,50,20,354,432,0,3,5,24,431,36,0,14,883,14
san luis potosí,621,3740,606,55,672,5,1178,3298,1045,354,803,26,28,48,5,4,1518,219,101,15,22,51,31,14,141,1348,0,2,1,1,87,59,0,8,265,73
sinaloa,700,2323,1176,0,193,6,557,3326,8,3,34,0,9,3,14,15,908,30,1,10,35,17,14,2,154,1249,0,3,1,2,586,45,0,7,556,29
sonora,1329,1590,474,0,63,0,1199,2612,91,14,304,264,3,0,21,4,758,98,70,9,40,24,18,15,207,425,0,1,0,0,438,115,0,17,200,36
tabasco,508,3963,537,0,266,2,1836,2417,14,10,3771,0,8,10,17,1,1453,676,0,12,38,17,11,5,85,60,0,4,0,2,536,80,0,25,775,19
tamaulipas,571,2015,420,8,472,1,1423,2266,11,1,112,0,0,0,0,3,1259,83,1,3,23,69,46,40,447,864,0,1,0,5,16,92,1,14,606,14
tlaxcala,111,224,8,0,0,0,335,1510,7,115,87,3,4,3,3,3,311,32,50,0,0,0,2,9,26,88,0,4,0,14,131,114,0,101,797,16
veracruz de ignacio de la llave,1282,6619,651,219,419,13,2770,6607,116,232,2172,289,73,71,65,36,5593,507,99,36,20,254,81,36,338,2378,0,16,0,4,52,40,0,5,448,24
yucatán,52,219,4,1,16,0,257,140,21,0,67,0,0,0,0,0,90,4,4,0,4,0,5,2,3,39,0,0,0,2,55,189,2,23,1677,51
zacatecas,789,1865,345,2,248,6,360,1419,25,8,17,14,0,3,11,0,155,158,25,4,8,131,11,31,168,376,0,13,0,4,49,101,0,12,110,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,18,0,8,111,1
